Name,Date,Sex,Age,BodyweightKg,TotalKg,prev_squat,prev_bench,prev_deadlift,avg_squat,avg_bench,avg_deadlift,days_since_last_meet,total_meets,percent_gain_since_last,career_avg_improvement_rate,total_std
A Phi Le,2025-04-03,M,18.5,55.95,526.5,190.0,112.5,197.5,186.25,108.75,191.25,54,2,0.0582,0.0582,19.44544
A'ron Washington,2024-04-13,M,23.0,124.0,777.5,300.0,182.5,265.0,280.0,176.25,262.5,35,2,0.08333,0.08333,40.65864
A'ron Washington,2024-10-05,M,23.5,123.9,740.0,305.0,187.5,285.0,288.33333,180.0,270.0,175,3,0.04013,0.06341,44.46441
A. Joseph Mahler,2024-10-25,M,60.0,81.6,407.5,112.5,90.0,175.0,111.25,82.5,175.0,328,2,0.04861,0.04861,12.37437
A. Joseph Mahler,2025-03-15,M,60.0,87.0,417.5,145.0,100.0,162.5,122.5,88.33333,170.83333,141,3,0.07947,0.06597,24.02256
AI Carlito Temaki,2020-03-07,M,31.0,126.2,770.0,320.0,192.0,225.0,315.0,191.0,235.0,91,2,-0.01074,-0.01074,5.65685
AI Carlito Temaki,2024-02-24,M,35.0,149.2,840.0,335.0,195.0,240.0,321.66667,192.33333,236.66667,1449,3,0.04478,0.01678,17.21434
AI Carlito Temaki,2024-10-11,M,36.0,150.65,830.0,390.0,210.0,240.0,338.75,196.75,237.5,230,4,0.09091,0.04251,46.82592
AJ Alzuri,2024-09-28,M,16.5,105.2,455.0,147.5,115.0,205.0,145.0,115.0,196.25,70,2,0.05056,0.05056,15.9099
AJ Bane,2024-11-16,M,17.0,108.45,617.5,250.0,137.5,200.0,241.5,134.75,199.0,210,2,0.04352,0.04352,17.32412
AJ Bane,2025-03-20,M,17.5,108.8,615.0,260.0,142.5,215.0,247.66667,137.33333,204.33333,124,3,0.05106,0.0484,27.29621
AJ Boyd,2024-06-29,M,30.0,134.22,772.92,252.65,200.03,272.61,241.31,196.63,251.065,154,2,0.11118,0.11118,51.31474
AJ Boyd,2024-08-17,M,31.0,132.49,772.92,284.4,204.57,283.95,255.67333,199.27667,262.02667,49,3,0.06567,0.09208,60.52969
AJ Boyd,2025-01-25,M,31.0,133.9,806.94,284.4,204.57,283.95,262.855,200.6,267.5075,161,4,0.0,0.06138,56.78888
AJ Boyd,2025-06-27,M,32.0,132.04,847.76,286.67,215.91,304.36,267.618,203.662,274.878,153,5,0.04401,0.05907,59.77666
AJ Ellis,2008-07-26,M,16.0,73.94,487.5,160.0,92.5,182.5,143.505,81.405,164.96,238,2,0.26186,0.26186,63.83053
AJ Jenkins #1,2024-04-27,M,,99.8,705.0,230.0,147.0,280.0,225.0,147.0,276.5,139,2,0.02656,0.02656,12.02082
AJ Kutrik,2023-11-18,M,22.0,88.1,632.5,220.0,135.0,260.0,210.0,125.0,260.0,244,2,0.06957,0.06957,28.28427
AJ Kutrik,2024-07-27,M,23.0,86.3,642.5,225.0,132.5,275.0,215.0,127.5,265.0,252,3,0.02846,0.05,29.47457
AJ LaFleur,2018-02-10,M,32.0,79.4,708.0,240.0,192.5,265.0,238.75,185.0,256.25,308,2,0.05283,0.05283,24.74874
AJ LaFleur,2018-06-02,M,32.0,79.9,717.5,250.5,185.0,272.5,242.66667,185.0,261.66667,112,3,0.01505,0.03434,23.82401
AJ LaFleur,2019-08-17,M,34.0,80.6,722.5,250.0,192.5,275.0,244.5,186.875,265.0,441,4,0.01342,0.02767,24.01519
AJ Mangoba,2025-08-10,M,33.0,71.9,592.5,180.0,125.0,263.0,180.0,118.75,249.0,357,2,0.07678,0.07678,28.63782
AJ Prapavat,2019-06-01,M,31.0,81.2,705.0,227.5,175.0,262.5,221.25,178.75,263.75,546,2,0.00377,0.00377,1.76777
AJ Prapavat,2022-10-01,M,34.0,81.2,742.5,252.5,177.5,275.0,231.66667,178.33333,267.5,1218,3,0.06015,0.03208,23.84848
AJ Prapavat,2025-05-17,M,37.0,81.5,697.5,272.5,185.0,285.0,241.875,180.0,271.875,959,4,0.05319,0.04025,37.88689
AJ Rankins,2021-05-01,M,30.0,98.5,597.5,197.5,150.0,245.0,190.0,146.25,237.5,588,2,0.06757,0.06757,26.5165
AJ Rankins,2022-01-15,M,30.0,103.1,640.0,205.0,145.0,247.5,195.0,145.83333,240.83333,259,3,0.00844,0.03829,23.22893
AJ Rankins,2023-02-04,M,31.0,103.7,700.0,227.5,152.5,260.0,203.125,147.5,245.625,385,4,0.07113,0.05105,34.79104
AJ Rankins,2023-09-09,M,32.0,103.1,712.5,247.5,175.0,277.5,212.0,153.0,252.0,217,5,0.09375,0.06532,55.32292
AJ Rankins,2024-03-17,M,32.0,105.0,730.0,252.5,172.5,287.5,218.75,156.25,257.91667,190,6,0.01786,0.05676,62.99636
AJ Renshaw,2021-09-11,M,35.0,178.1,837.5,317.5,210.0,295.0,315.0,210.0,287.5,100,2,0.02492,0.02492,14.14214
AJ Renshaw,2022-06-04,M,36.0,177.2,892.5,327.5,227.5,282.5,319.16667,215.83333,285.83333,266,3,0.01824,0.02181,17.55942
AJ Rodriguez,2017-07-15,M,29.0,77.0,495.0,175.0,107.5,205.0,171.25,113.75,210.0,266,2,-0.02985,-0.02985,10.6066
AJ Spencer,2022-05-21,M,18.5,85.3,530.0,172.5,122.5,227.5,166.25,120.0,210.0,91,2,0.1117,0.1117,37.12311
AJ Spencer,2022-10-22,M,18.5,92.2,550.0,172.5,127.5,230.0,168.33333,122.5,216.66667,154,3,0.01435,0.06383,32.69174
AJ Spencer,2023-02-17,M,19.5,95.3,575.0,190.0,117.5,242.5,173.75,121.25,223.125,118,4,0.03774,0.05674,34.11836
AJ Spencer,2023-07-01,M,19.5,94.2,587.5,205.0,125.0,245.0,180.0,122.0,227.5,134,5,0.04545,0.05585,38.98718
AJ Watt,2022-04-23,M,28.0,99.9,645.0,237.5,130.0,252.5,231.25,122.5,241.25,224,2,0.08772,0.08772,35.35534
Aadesh Motwane,2023-02-11,M,16.5,74.45,330.0,95.0,62.5,130.0,91.25,62.5,126.25,335,2,0.05505,0.05505,10.6066
Aadesh Motwane,2023-03-30,M,16.5,74.0,345.0,115.0,70.0,145.0,99.16667,65.0,132.5,47,3,0.14783,0.1055,29.82588
Aadesh Motwane,2024-02-10,M,17.5,80.65,402.5,120.0,70.0,155.0,104.375,66.25,138.125,317,4,0.04545,0.08869,34.30865
Aadesh Motwane,2025-03-09,M,18.5,77.9,432.5,147.5,87.5,167.5,113.0,70.5,144.0,393,5,0.16667,0.11927,51.38701
Aadyn Smith,2025-03-20,M,16.5,66.05,370.0,125.0,72.5,147.5,115.0,67.5,137.5,96,2,0.16949,0.16949,35.35534
Aadyn Smith,2025-07-12,M,16.5,64.65,387.5,135.0,75.0,160.0,121.66667,70.0,145.0,114,3,0.07246,0.12712,38.18813
Aaliyah Fisher,2019-08-10,F,15.0,65.8,222.5,90.72,43.09,102.06,82.78,40.825,99.79,14,2,0.11829,0.11829,17.64231
Aaliyah Henry,2023-11-18,F,19.5,97.75,517.5,195.0,107.5,210.0,178.75,96.25,201.25,219,2,0.16477,0.16477,51.26524
Aaliyah Henry,2024-04-11,F,20.5,97.9,530.0,190.0,112.5,215.0,182.5,101.66667,205.83333,145,3,0.00976,0.08807,43.37338
Aaliyah Henry,2025-04-03,F,21.5,98.85,520.0,210.0,115.0,205.0,189.375,105.0,205.625,357,4,0.02415,0.06818,40.67145
Aaliyah Medley,2024-07-12,F,22.5,66.6,437.5,142.5,62.5,165.0,137.5,61.25,152.5,447,2,0.11278,0.11278,26.5165
Aaliyah Moelter,2023-03-30,F,16.5,51.15,240.0,82.5,45.0,110.0,75.0,41.25,97.5,26,2,0.25,0.25,33.58757
Aamar Mahmood,2022-04-30,M,34.0,99.6,785.0,250.0,227.5,290.0,246.25,227.5,282.5,238,2,0.0302,0.0302,15.9099
Aamar Mahmood,2023-03-18,M,35.0,93.55,712.5,252.5,237.5,295.0,248.33333,230.83333,286.66667,322,3,0.0228,0.02685,20.05202
Aamar Mahmood,2023-07-15,M,35.0,99.85,790.0,210.0,227.5,275.0,238.75,230.0,283.75,119,4,-0.09236,-0.01454,31.29164
Aamar Mahmood,2023-10-31,M,36.0,99.3,785.0,265.0,225.0,300.0,244.0,229.0,287.0,108,5,0.10877,0.0151,31.86887
Aamir Syed,2013-01-26,M,30.5,88.99,505.76,170.1,113.4,247.21,170.1,115.665,246.075,141,2,-0.00426,-0.00426,1.60513
Aaren Landis,2023-09-22,M,21.0,98.3,682.5,250.0,147.5,285.0,238.75,146.25,267.5,125,2,0.09639,0.09639,42.42641
Aaro Mäki-Jouppila,2023-04-22,M,23.0,107.8,545.0,200.0,130.0,225.0,197.5,127.5,217.5,140,2,0.04717,0.04717,17.67767
Aaro Mäki-Jouppila,2023-05-13,M,24.0,109.2,567.5,190.0,135.0,220.0,195.0,130.0,218.33333,21,3,-0.01802,0.01415,12.58306
Aaro Mäki-Jouppila,2023-12-02,M,24.0,109.0,555.0,202.5,137.5,227.5,196.875,131.875,220.625,203,4,0.04128,0.02358,15.86072
Aaro Mäki-Jouppila,2024-03-23,M,24.0,108.6,577.5,202.5,125.0,227.5,198.0,130.5,222.0,112,5,-0.02203,0.01179,13.96424
Aaron Adams #1,2018-06-16,M,43.0,118.5,592.5,225.0,152.5,227.5,228.75,150.0,223.75,196,2,0.00833,0.00833,3.53553
Aaron Adato,2022-09-03,M,23.5,88.55,617.5,200.0,152.5,250.0,186.25,146.25,235.0,105,2,0.13146,0.13146,49.49747
Aaron Adato,2023-01-21,M,24.0,88.4,652.5,202.5,157.5,257.5,191.66667,150.0,242.5,140,3,0.0249,0.07981,45.36886
